,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
56,Ecuador,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,3,3,2,1,51,56,75,203,276,386,489,648,799,1085.2,1325.58,1426.05,1436,1636,1836,2460,2933.808811,3341.337813,3088.633129,2742.436211,2599.027038,2680.596331,2476.225962,2458.803089,2472.449389,2387.555883,2612.048514,2719.142503
57,"Egypt, Arab Rep.",0,0,0,0,0,0,0,928,1770,2210,2700,2180,2440,3670,3960,3210,2510,3600,3770,3290,4280,4050,6100,5660,3670,3230,3110,3700,3370,3240,2850,2910,2890,2960,3340,5017.3,5329.5,7655.8,8694,7149.6,12453.1,14324.3,19236.4,17833.1,19570.4,18325.39955,16590.00013,18199.23014
58,El Salvador,0,0,0,0,0,0,10.6,54,67.84,100,49.04,72.48,112.2,115.44,158.92,156.96,157.733963,186.24,210.36,237.68,366.8196642,475.3076923,694.0567127999999,795.4007417,972.0408134,1063.198325,1080,1200,1341.484866,1383.5,1764.7,1925.5,1958.5,2127.1,2566.5,3028.6,3482.7,3709.05,3754.75,3402.34,3471.836719,3643.949246,3896.143391,3954.928084,4154.014105,4288.065206,4593.757162,5066.91415
59,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3185146,0,0,0.10017061,0.16420604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6916284708000004,3.6340055,3.2847509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90501471,1.283825069,1.684442008,1.737374136,2.644206012,2.31463898,4.05263427,11.0206981,19.1489802,51.2072753,166.893258,264.0983270173022,401.87237345000005,410.9883818,362.2630005,339.78359608999995,357.166726,438.3689568,460.84257190000005,567.6290793,544.498868,446.307776,478.676464,464.7948465
62,Ethiopia,0,0,0,0,0,0,0,4.4444444,7.1497585,8.6956522,12.222222,10.483092,10.193237,11.014493,11.497585,14.202899,13.574879,8.550724599999999,11.304348,6.47343,5.2173913,9.7584541,15.01913,18.38,24.62567,27.359669,16.0122107,9.232460329,27.313236,33.729647,53.158882,18.313718,32.986894,46.470192,134,173.5194057,172.153314,357.838225,386.6962658,261.6124471,345.1612711,513.2486666,624.3711655,624.3711655,1796.377787,1086.986789609375,772.235968,805.6767213886382
63,Faeroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.48,50.04,42.97,39.04,39.75,44.38,49.217895,80.28230511,89.05561615,109.1779694,136.5695801,138.7414374,146.3928243,158.41175,158.41175,158.41175,158.41175,158.41175,158.41175,164.53323601765666
64,Fiji,0,0,0,0,0,0,0,0,0,3.5896192,4.89018675,9.3023083,8.086236,7.98410786,10.6133709,27.65366423,29.74756465,27.01272301,22.65325044,22.98876446,21.94599012,19.179192,22.68809601,26.13870392,29.64227818,32.92249369,33.4212216,35.32651068,25.92086177,24.420892100000003,44.00403364,83.2445058,99.44972005,124.2268878,172.8462618,203.6909290141328,204.5899712,183.2276892,146.7017128,171.2433375,173.7672189,160.3733465,190.6077638,203.5788105,220.9111119,251.320152,80.40104152999895,83.90699018402432
65,Finland,0,0,0,0,0,18.514945,23.80775,46.70399,65.4784,91.440733,106,95.759995,108,97.178133,49.415206,50.871545,74.044213,77.741461,105,70.851071,62.883601,101,103,77.051125,66.89375,74.258863,146,235,375,444,473,491,477,526,666,692.6239676,714.5076808,806.0867837999999,959.168579,865.0539412999999,894.0363171,755.5717041,862.4284094,973.2433722,907.0354382,806.33344,804.362688,832.4862712069017
66,France,0,0,0,0,0,628,653,1261,1578,1917,1441,1279,1342,1279,1262,1391,2022,2469,3424,3221,4034,4618,5212,5032,3955,4636,4540,9745,10024,9306,8610,9191,10368,11351,12260,14212.232287185378,15528.85291,17589.39055,20085.32931,19649.12483,19903.16886,22927.27576,22674.44452,24406.33351,25351.15715,23765.70061,24373.08243,24519.32093
67,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.205361,508.323615,597.973117,557.2706203485398,621.8617899400001,688.7618774599999,763.0537479699999,727.7572459099999,650.7444406,722.3746283400001,633.4875349,652.0713432,657.6954282,657.6954282,657.6954282,685.4834317
68,Gabon,0,0,0,0,0,0,0,0,0.088630537,0.094019582,0.047330656,0.1840052,0.060863115,0.28866388,0.091542258,0.13355207,0.23100963,0.2994643919999999,0.13429659,0.15673573,0,0,0,0,0,4.47161583,5.7276631,6.145602599999999,5.5631666,4.247204300000001,6.0507634,5.3639747,2.8465331000000003,5.9893291,6.852364399999999,11.02815417188996,0,0,0,0,0,0,0,0,0,0,0,0
69,"Gambia, The",0,0,0,0,0,0,0,0,0.34520035,0.49247629,0,0,0.1878131,0.70113613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.06983939,60.74874891,59.30408754372933,63.77351735,55.662540373000006,64.81155898,79.80115312400001,115.699061,107.909707,140.99105187799998,180.69270714415515,137.7712094,135.9638753,207.3692038,212.3796715223496
70,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,373,360,209.5471874,221.5724478,230.8153635,235.9619013,302.9209618,446.0053986,627.3487795,883.065426,1065.021296,1111.6197131999998,1183.93575,1547.2744395999998,1770.115175,1945.284852,1986.474923,1458.741312,1520.78528,1641.0549000245717
